127.0.0.1 - - [03/Aug/2023:16:40:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Aug/2023:16:40:11 +0530] "GET /MyProject1/ HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [03/Aug/2023:16:40:11 +0530] "GET /MyProject1/images/slid.jpg HTTP/1.1" 200 314976
0:0:0:0:0:0:0:1 - - [03/Aug/2023:16:40:11 +0530] "GET /MyProject1/css/style.css HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [03/Aug/2023:16:40:11 +0530] "GET /MyProject1/images/vnm.gif HTTP/1.1" 200 23047
0:0:0:0:0:0:0:1 - - [03/Aug/2023:16:40:17 +0530] "GET /MyProject1/login.jsp HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [03/Aug/2023:16:40:34 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [03/Aug/2023:16:40:34 +0530] "GET /MyProject1/images/logo.png HTTP/1.1" 200 19565
0:0:0:0:0:0:0:1 - - [03/Aug/2023:16:40:53 +0530] "GET /MyProject1/addQuestion.jsp HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [03/Aug/2023:16:41:23 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:25:28 +0530] "GET /MyProject1/ HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:25:32 +0530] "GET /MyProject1/login.jsp HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:25:45 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:25:50 +0530] "GET /MyProject1/addQuestion.jsp HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:26:10 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:26:16 +0530] "GET /MyProject1/set_question_type.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:26:20 +0530] "GET /MyProject1/set_question_type.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:26:22 +0530] "GET /MyProject1/set_question_type.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:26:33 +0530] "GET /MyProject1/ HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:26:38 +0530] "GET /MyProject1/login.jsp HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:26:53 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:26:57 +0530] "GET /MyProject1/createPaper.jsp HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:27:33 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 3966
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:27:53 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:28:16 +0530] "GET /MyProject1/showQuestion.jsp HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:28:20 +0530] "GET /MyProject1/showQuestion.jsp HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:28:36 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 5916
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:28:48 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 5916
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:28:51 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 5916
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:29:00 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 5916
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:29:08 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 5916
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:29:12 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 5916
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:29:21 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 5916
0:0:0:0:0:0:0:1 - - [03/Aug/2023:17:29:25 +0530] "GET /MyProject1/index.jsp HTTP/1.1" 200 2567
